CustCD,DeveCD,W/H_CD,ASSY_Gr,Rev,Place,No,SubNo,Rank,WorkClass,Wi_No,Wi_Type,Wi_Size,Wi_Col,Wi_Len,Wi_Add,J_??,Wi_Gr,Cir_S,Cir_L,Ter_L,W_L,ConnName_L,ConnNo_L,T_Conn_L,Tub_L,Ins_L,M_L,SAM_Hand_S_L,P_L,B_L,ConnID_L,FILLER_2,Cir_R,Ter_R,W_R,ConnName_R,ConnNo_R,T_Conn_R,Tub_R,Ins_R,M_R,SAM_Hand_S_R,P_R,B_R,ConnID_R,FILLER_3,ApplCD,FileName
D,D,D,D,D,1010,0810,0001,0001,,162,CIVUS,0.35, W/,2503,, 282,,O01,EXA,SSGF,,SSG-BA-36FA-Y,111,1,,1,,,,,566001B2,,EXP,NABD-F03,,ABD-16FA T,97,,,1,,,,,56600106,,A C  FG   KL        U                            xyz12,50A02FB850A030D7 14  2
D,D,D,D,D,1010,0811,0001,0001,,162,CIVUS,0.35, W/,2503,, 652,,,EXA,SSGF,,SSG-BA-36FA-Y,111,1,,1,,,,,56600089,,EXP,NABD-F03,,ABD-16FA T,97,,,1,,,,,56600106,,                     V X   b   fghijklmnopqrstuvw     3,50A02FB450A030D7 14  2
D,D,D,D,D,1010,0812,0007,0007,,1I9,CIVUS,0.13, B/,1153,,  88,222,,$WG,SSGF01,,YSK-CJC-12F,375,,,1,,,,,507000BA,,MS8,SSGF01,,SSG/TSN16-LIF63F,531,,,2,,,,,50700002,,                                                    12,50A0310150A03391  6 31
D,D,D,D,D,1010,0813,0008,0008,,732,CIVUS,0.13,VI/,810,,1175, 67,O06,#1K,SSGF01,,YSK-CJC-12F,395,,,1,,,,,5070001C,,MS6,SSGF01,,SSG-TP-22F-GR,536,,,2,,,,,5070001D,,     FG             U             ij          uvw,50A032F650A0324B  2 22
D,D,D,D,D,1010,0814,0018,0018,,2H3,CIVUS,0.13,VI/,2837,, 874,176,O06,MS6,SSGF01,,SSG-TP-22F-GR,536,,,2,,,,,5070001D,,MWJ,SSGF01,,SSG-LIF-54F-B,99,,,1,,,,,5660018F,,                       X         h     no   st,50A0324B50A030DA 22  9
D,D,D,D,D,1010,0815,0008,0008,,731,CIVUS,0.13, W/,2367,, 765,141,O08,#2V,SSGF01,,YSK-CJC-12F,395,,,1,,,,,5070001C,,ISN,SSGM01,,YSKTSNY25-63M-GR,510,,,1,,,,,5070005F,,     FG             U             ij          uvw,50A032F150A03195 11 54
D,D,D,D,D,1010,0816,0008,0008,,735,CIVUS,0.13, W/,2378,, 991,191,O08,%4J,SSGF01,,YSK-CJC-12F,395,,,1,,,,,5070001C,,LM5,SSGM01,,YSKTSNY25-63M-GR,510,,,1,,,,,5070005F,,     FG             U             ij          uvw,50A032EE50A032FF 12 52
D,D,D,D,D,1010,0817,0003,0003,,812,CIVUS,0.13,LG/,2957,, 472,107,O03,GFK,NANSSF55-0,,ETHERNET-34FA,115,1,,1,,,,,50700052,,TXB,TSN-F01,,SSG/TSN16-LIF63F,531,,,2,,,,,50700002,,     FG             U             ij          uvw,50A032D050A03223 26  9
D,D,D,D,D,1010,0818,0003,0003,,813,CIVUS,0.13, W/,2957,, 470,107,O03,GFL,NANSSF55-0,,ETHERNET-34FA,115,1,,1,,,,,50700052,,TXC,TSN-F01,,SSG/TSN16-LIF63F,531,,,2,,,,,50700002,,     FG             U             ij          uvw,50A032D550A03222 25  8
D,D,D,D,D,1010,0819,0016,0016,,2C7,CIVUS,0.75, W/B,929,, 173,,O12,+GA,TSN-F,,TSN-EJC6L-12F,626,1,,1,,,,,56600180,,ZMV,DSYWM,,DSL-BP-6MA-B,581,,,1,,,,,507000A9,,                     V X   b        klmno             3,50A02D4B50A0339A  7  2
D,D,D,D,D,1010,0820,0012,0012,,2C4,ALVUS,1.25,LA/R,880,, 580,,O12,$X0,JSS,,  J,454,1,,1,,,,,566000EC,,RSP,DSSALWM10,,DSL-BP-6MA-B,581,,,1,,,,,507000A9,,                     V X   b        klmno             3,50A02A9850A0339B  5  3
